pumpid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
A/09/13,NA,NA,NA,NA,NA,NA,15439.2,17656,14873,14018,13017,14594,13377,14783,11916,14812,14712.25,14242,11060,12168,10646,15085,13209,13267,14988.4,9077,13928,12140,13992,14699,13246,14351,13683,12791.333333333334,15288,15053,17932,14949,13589,15799,11876,12769,14656,16738,12195,12067,14880,16276,12823,14938,16087,15398
A/09/14,2017.75,2003,2268,2204,2623,2965,2768,3031,3201,3133,2983,4027,4089,5480,4396,5756,6086.5,5724,3865,4750,4716,6339,6932,7432,7820.166666666667,4253,7482,7334,7741,7937,6638,7298,6931,6353.666666666667,8465,8513,8978,8288,8454,8621.666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A/10/10,11838.75,13804,13232.8,NA,NA,8738.8,6687.8,7861,7766,7439,7746,6775,2933,4174,6457,5961,6732.25,4681,2603,3765,3313,3773,4175,2954,3370.5,2522.3333333333335,4704,5139,3222,7,4.666666666666667,6,220,283.5,707,1080.8,1229.2,1938,2632,2878,3178,3092.25,4068,4107,2931.6,3697,4096.166666666667,NA,NA,NA,NA,NA
A/10/11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A/10/12,NA,NA,NA,NA,NA,NA,11635.4,12015,12422,11943,10186,10808,11125,13188,9772,10940,14297.5,12332,6248,9160,7061,10929,11819,11764,13486.2,5928,11062,9230,12950,12315,8303,12666,11986,12387.666666666666,14278,11541,12912,14561,14017,12474,10455,11657,15466,14333,12188,13135,18080,22173,12544,7604,14209,15088
A/10/14,12320,12331,13508,14659,12629,16244,12929,14014,15315,13234,12686,13921,13018,15930,14030,15498,16961,15149,3905,5373,5688,10089,11025,11624,12912.2,6722,9674,8978,7946,9419,7683,9761,11577,12313,12625,10275,13203,11439,15490,16809,13868,16430,19199,20259,18120,15162,16531,14006,13708,16030,15607,16805
A/11/10,13921.25,13688,13084.75,NA,NA,14527.333333333334,14496,13274,13574.4,14437.5,15543,15066,16233,16175,14339,13532.75,13958,12063.333333333334,9085,11130,10458,13191,15054,12644.333333333334,13402.2,9597,13267,13391,13106,13458,12605,14977,15214,14564.666666666666,21003,14982,15556,15713,16774,17231,14394,13323,13791,14290,11754.166666666666,14153,15025,16348,18680.666666666668,28243.833333333332,27907.833333333332,32781
A/11/11,1869,5517,1392,2224,1135,1947,1108,632,852,2174,1305.5,1385,2026,6942.833333333333,11913,1257.2,3824.3333333333335,4007.5,1377,854,944,959,399,4686,1106,833,3098.6666666666665,582,242,245,438,221.66666666666666,550,525,609,235,309,275,4008,5096,2535,3202,546,254,416,402,1360,1166,2183,2325,1839,807
A/11/12,16786,13629,18161,18176.666666666668,NA,16644.6,17643,15455,17478,18105,16161,17113,18381,17237,16009,14329,22848,24370,14220,21608,18120,24866,23339,22864,24152.8,12615,22918,21269,20786,22925,14542,18757,19758,15519,19505,18924,20244,19302,22866,27926,1621,111,11948,13472,15884,15204,19529,21579,19118,28619.5,6090,191
A/11/15,NA,NA,NA,NA,6249.25,9035,10172.166666666666,11162,12943,13487.833333333334,13567.75,6523,4942,3384.5,196,3531.5,5019,1130.5,91,14,0,0,0,0,0,0,648,837.6666666666666,878.5,696.5,315,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,715.1666666666666,0,0
A/12/10,15352.75,16115,16607.5,NA,NA,21612.5,20626,16848,22555,23704,22335,22192,12128,10981,7149,9664,10403.75,8710,6230,8160,5047,10565,10349,11721,12958.4,6417,10876,10637,13058,12722,8687,11172,10544,10628.333333333334,11309,10437,12736.5,10525,9896,14407,9691,9962,11146,13743,8063,13750.333333333334,11493,14967,11861,11658,14025,13191
A/12/12,10251.5,13768,13250,11462.5,NA,12272.166666666666,12548,12923,11385,11878,11486,9048.666666666666,12684,13146,13404,12180,13767.25,11769,5094,2484,4419.333333333333,7925,8907,11618.6,11662,7475,6294,6407,6396,7599,5977,8037,7703,6486.666666666667,5063.333333333333,4147,4077.5,4466,3678,4622,3679,3166.3333333333335,5538,4630,4301,3932,6937,6992,5605.833333333333,5748,5572,5588
A/13/11,59.5,3174,2915,3738,NA,4380.833333333333,4166,10372,10672,10705,9956,5580,4601,4541,3091,425,754.25,245,1116.5,2189,1329,2146,1803,2614,3172.4,2031,1266,1889,2358,2209,1100,2072,1562,557.6666666666666,255,2770,2743,3352,4687,5480,3858,4333,3391,5161,159,798,140,260,326,118,80,127
A/13/12,25077.5,25435,16553.25,20166,24736,24053.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19999,NA,NA
A/14/10,21525,26085.5,NA,NA,NA,24487.166666666668,23325,27536,25581.5,24409,20240,21389,21934.5,23300.666666666668,21397.833333333332,21750,21397.25,15876,8981,13893,11952,16327,17478,15916.833333333334,18879,11726,15128.166666666666,15473,19268,22485.166666666668,17212,22788.5,21929,20286,18153.333333333332,18034,20910,24804,25438,24610,18613,23289,25148.2,22201.2,19962.833333333332,23296,25166,21318,13062,17681,1839.8333333333333,5065
A/14/11,11873.75,12457,11103,13954.5,NA,12449.5,11542,18057,9317,5491,3236,7437,10297,11276,9115,9128,8510.25,9732,5648,6706,6143,7845,7499,7351,8372,5692,7413,7066,6713,7073,6540,8252,7998,8612.333333333334,7338,7444,11696,8005,8121,9063,6836,7281,8457.166666666666,7986,6954,8217,7790,9540,10522,10947,9269,12208
A/14/12,16629.666666666668,19774,17984,20811,NA,19651.333333333332,19031,20597,21079,21261,18870,20103,20206,22514,17159,19642,20265,17155,9453,11375,11573,17138,17128,16902,20989.5,14379,24050,22609,21152,3799,89,15681,15899,15197,19897,18111,21097,19833.333333333332,20377,23080,17430,19146,22612,21899,15576,17666,21820,25760,20647,24326,24097,23983
A/15/10,12544,9826.25,NA,NA,NA,8314.25,10425.8,10059,7823,8899.333333333334,8654,9167,8543,10483,8888.833333333334,9514,9276.75,7497,5849.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
A/16/10,30710.75,28809.2,NA,NA,NA,25252.5,36518,44224,35313,29860,32388,30900,33891,39439.166666666664,47706,30911,26705,21812,14618.8,20308,20897,29081,32171,28253.75,31848.6,25057.2,38103.333333333336,42695.333333333336,28305.666666666668,37573,30107,24631,23625,21333.666666666668,23797.2,21862,24837.75,32834,31063.666666666668,29722,24283,28115,25583,31665,27130,28035,36176,35950,28921,33991,37161.6,41072.5
